,x0,carat,cut,color,clarity,x,y,z,depth,table,price
0,1,0.55,5,6,7,5.26,5.29,3.24,61.5,56.0,2220
1,1,1.21,1,3,6,6.7,6.66,4.31,64.5,56.0,5041
2,1,1.24,4,4,5,7.08,6.98,4.14,58.9,58.0,6145
3,1,1.21,1,4,5,6.69,6.62,4.29,64.5,56.0,4637
4,1,0.76,2,2,5,5.69,5.64,3.64,64.3,60.0,2326
5,1,0.51,2,6,6,5.08,5.05,3.23,63.8,55.0,1662
6,1,1.22,5,4,7,6.82,6.77,4.25,62.5,57.0,8608
7,1,0.41,2,2,8,4.71,4.74,3.02,63.9,55.0,827
8,1,1.51,3,6,6,7.3,7.36,4.46,60.8,60.0,14338
9,1,0.31,4,5,9,4.41,4.45,2.63,59.4,58.0,766
10,1,1.27,5,4,7,7.06,7.09,4.22,59.6,57.0,9262
11,1,0.61,4,4,6,5.43,5.4,3.41,63.0,58.0,1800
12,1,0.57,3,1,6,5.33,5.4,3.23,60.2,62.0,1072
13,1,1.22,5,1,7,6.86,6.87,4.22,61.5,55.0,5649
14,1,1.16,5,7,4,6.79,6.74,4.2,62.1,54.0,5898
15,1,2.01,3,1,5,8.01,8.09,4.97,61.7,59.0,14125
16,1,1.01,5,4,6,6.43,6.41,3.97,61.8,57.0,6504
17,1,0.41,3,3,8,4.75,4.77,2.97,62.4,54.0,873
18,1,0.7,5,2,4,5.67,5.72,3.55,62.3,55.0,1874
19,1,0.3,5,3,8,4.3,4.3,2.7,62.5,54.0,567
20,1,1.03,5,5,4,6.44,6.4,4.02,62.6,57.0,3461
21,1,0.4,4,3,9,4.72,4.69,2.91,61.8,58.0,1088
22,1,0.9,2,6,7,6.07,6.12,3.82,62.7,58.0,5201
23,1,0.38,5,4,9,4.67,4.7,2.9,61.9,56.0,993
24,1,0.31,5,3,6,4.34,4.32,2.73,63.0,57.0,628
25,1,0.31,5,3,6,4.34,4.32,2.73,63.0,57.0,628
26,1,2.02,5,4,6,8.1,8.05,5.01,62.0,57.0,18700
27,1,0.33,3,4,8,4.39,4.47,2.78,62.8,57.0,752
28,1,1.5,4,6,4,7.3,7.22,4.55,62.7,59.0,8316
29,1,0.5,1,6,4,5.26,5.17,3.02,58.0,67.0,851
30,1,0.41,3,1,6,4.73,4.7,2.99,63.4,56.0,784
31,1,1.01,4,5,6,6.48,6.44,3.83,59.3,62.0,6533
32,1,1.08,5,5,6,6.52,6.57,4.09,62.5,57.0,7625
33,1,0.51,3,6,5,5.13,5.18,3.16,61.3,54.0,1438
34,1,0.7,2,6,5,5.53,5.58,3.61,65.0,57.0,2038
35,1,0.51,4,6,5,5.07,5.12,3.18,62.4,59.0,1381
36,1,0.53,3,4,4,5.19,5.21,3.16,60.8,58.0,1070
37,1,0.53,5,6,5,5.2,5.24,3.23,61.9,55.0,1585
38,1,1.19,3,1,4,6.7,6.79,4.27,63.4,56.8,4329
39,1,1.6,5,5,7,7.47,7.52,4.65,62.0,56.0,18780
40,1,0.72,5,6,4,5.71,5.74,3.57,62.4,57.0,2939
41,1,1.5,4,2,6,7.28,7.24,4.46,61.4,58.0,11655
42,1,0.47,4,4,5,5.11,5.06,2.99,58.8,58.0,1086
43,1,0.82,5,6,6,6.01,5.98,3.71,61.9,57.0,3903
44,1,0.62,5,4,10,5.46,5.51,3.41,62.2,54.0,2655
45,1,0.9,3,3,9,6.17,6.19,3.84,62.1,59.0,4664
46,1,0.5,1,4,7,4.97,4.87,3.23,65.7,63.0,1257
47,1,1.2,3,3,6,6.73,6.78,4.27,63.2,54.0,6423
48,1,1.27,5,1,7,6.96,6.92,4.3,62.0,57.0,5008
49,1,0.35,5,6,9,4.5,4.53,2.79,61.8,56.0,905
50,1,0.7,5,6,6,5.68,5.71,3.53,62.0,57.0,3093
51,1,1.31,5,3,7,7.02,7.05,4.33,61.5,55.0,8429
52,1,2.01,3,4,4,8.06,8.01,5.08,63.3,56.0,12271
53,1,1.0,5,2,4,6.38,6.35,3.98,62.5,56.0,3276
54,1,0.54,5,4,5,5.21,5.27,3.24,61.8,58.0,1350
55,1,0.5,1,6,7,5.31,5.28,2.97,56.1,64.0,1950
56,1,0.27,5,5,8,4.1,4.12,2.58,62.7,55.0,760
57,1,0.44,5,3,7,4.98,4.91,3.03,61.3,57.0,1089
58,1,1.2,3,4,5,6.71,6.79,4.24,62.8,60.0,6526
59,1,0.54,3,2,10,5.29,5.35,3.13,58.8,61.0,1708
60,1,1.06,3,5,4,6.6,6.63,3.97,60.0,59.0,4224
61,1,0.77,5,2,5,5.9,5.93,3.64,61.5,56.0,2946
62,1,1.2,5,4,4,6.74,6.84,4.22,62.2,56.0,5385
63,1,0.72,1,5,7,5.93,5.77,3.33,56.9,69.0,2879
64,1,1.51,5,4,8,7.35,7.29,4.56,62.3,55.0,14750
65,1,0.55,5,5,5,5.25,5.29,3.26,61.9,55.0,1700
66,1,0.72,2,3,5,5.63,5.68,3.6,63.7,59.0,2277
67,1,0.35,4,3,6,4.58,4.54,2.82,61.8,56.0,709
68,1,0.78,3,7,7,6.0,6.03,3.64,60.5,55.0,4234
69,1,2.02,4,3,4,8.15,8.08,4.98,61.4,59.0,15606
70,1,1.07,3,5,4,6.68,6.75,3.99,59.4,60.0,4552
71,1,0.5,3,5,5,5.08,5.04,3.2,63.2,58.0,1106
72,1,0.53,2,6,5,5.13,5.22,3.24,62.6,64.0,1282
73,1,0.51,5,7,6,5.16,5.11,3.19,62.1,56.0,1882
74,1,0.3,5,6,7,4.3,4.34,2.64,61.1,58.0,673
75,1,0.34,5,4,9,4.47,4.49,2.8,62.5,53.0,895
76,1,0.34,3,4,4,4.45,4.47,2.8,62.8,59.0,447
77,1,1.21,3,4,4,6.92,6.94,4.13,59.6,60.0,5556
78,1,1.27,4,2,5,6.94,6.99,4.24,60.9,59.0,5588
79,1,0.77,3,7,5,5.84,5.89,3.64,62.1,58.0,3040
80,1,0.32,5,4,9,4.43,4.47,2.74,61.6,55.0,814
81,1,0.32,3,2,4,4.37,4.34,2.76,63.4,56.0,480
82,1,1.03,5,2,5,6.53,6.57,4.0,61.1,55.0,4782
83,1,0.7,3,4,4,5.65,5.69,3.55,62.6,56.0,2058
84,1,0.29,5,2,7,4.22,4.27,2.62,61.7,56.0,444
85,1,0.32,3,7,5,4.36,4.4,2.76,63.0,58.0,589
86,1,0.92,4,6,5,6.25,6.27,3.81,60.9,59.0,4258
87,1,0.77,1,1,5,5.97,5.81,3.55,60.2,66.0,1956
88,1,0.3,3,4,10,4.21,4.25,2.66,62.9,58.0,895
89,1,0.38,4,7,4,4.72,4.67,2.78,59.2,61.0,812
90,1,1.2,5,4,7,6.84,6.77,4.2,61.7,56.0,5766
91,1,1.7,5,2,6,7.64,7.72,4.74,61.7,56.0,11257
92,1,0.9,3,2,6,6.27,6.3,3.73,59.3,59.0,3992
93,1,1.7,5,1,6,7.6,7.63,4.76,62.5,57.0,9414
94,1,0.5,1,6,6,5.21,5.18,4.09,79.0,73.0,2579
95,1,0.5,1,6,6,5.21,5.18,4.09,79.0,73.0,2579
96,1,0.41,3,5,5,4.74,4.73,3.0,63.4,57.0,904
97,1,0.51,5,7,7,5.17,5.14,3.19,61.9,57.0,2177
98,1,0.72,5,6,5,5.79,5.75,3.53,61.2,56.0,2666
99,1,0.71,5,5,9,5.72,5.74,3.54,61.8,56.0,3880
100,1,0.33,4,6,5,4.43,4.41,2.75,62.2,59.0,743
101,1,0.3,3,4,9,4.25,4.23,2.68,63.2,58.0,1013
102,1,1.05,4,7,5,6.74,6.68,3.98,59.3,58.0,6174
103,1,0.28,3,7,7,4.13,4.16,2.58,62.2,61.0,452
104,1,0.38,5,6,7,4.7,4.75,2.86,60.8,56.0,940
105,1,0.55,5,4,4,5.27,5.32,3.27,61.8,55.0,1228
106,1,0.84,5,7,5,6.03,6.08,3.78,62.4,57.0,3685
107,1,0.9,4,6,6,6.3,6.27,3.81,60.6,53.0,4562
108,1,0.41,2,2,5,4.7,4.67,2.99,63.8,57.0,784
109,1,0.32,5,6,7,4.49,4.45,2.66,59.5,57.0,842
110,1,1.0,3,5,7,6.33,6.35,4.04,63.7,57.0,7350
111,1,1.01,2,6,4,6.29,6.42,3.9,61.4,64.0,4285
112,1,0.76,4,6,4,5.94,5.9,3.55,60.0,59.0,2399
113,1,2.01,1,2,3,7.71,7.64,5.17,67.4,58.0,5696
114,1,0.3,3,4,7,4.25,4.29,2.68,62.8,57.0,605
115,1,1.08,4,4,4,6.66,6.61,3.94,59.3,61.0,3701
116,1,1.23,4,7,6,6.93,6.88,4.32,62.6,52.0,9257
