,x0,carat,cut,color,clarity,x,y,z,depth,table,price
0,1,1.62,5,2,6,7.53,7.58,4.69,62.1,55.0,10501
1,1,0.3,4,4,5,4.39,4.35,2.57,58.8,60.0,574
2,1,1.37,5,5,7,7.28,7.22,4.32,59.6,57.0,11649
3,1,0.33,1,3,8,4.4,4.32,2.84,65.1,59.0,922
4,1,0.32,3,5,6,4.43,4.48,2.62,58.8,62.0,602
5,1,0.51,4,6,4,5.15,5.12,3.22,62.7,52.0,1205
6,1,1.5,2,3,6,7.22,7.27,4.61,63.6,58.0,10291
8,1,0.33,5,5,7,4.46,4.49,2.74,61.2,56.0,723
9,1,1.1,5,4,7,6.69,6.65,4.09,61.3,54.0,6535
10,1,0.51,3,6,8,5.2,5.23,3.13,60.0,58.0,2365
12,1,1.51,4,4,6,7.2,7.31,4.55,62.7,58.0,12756
14,1,0.74,5,4,8,5.9,5.88,3.58,60.7,56.0,3831
17,1,0.9,4,7,5,6.15,6.11,3.84,62.6,58.0,4304
18,1,0.57,5,7,6,5.35,5.42,3.3,61.3,56.0,2546
19,1,0.31,3,2,5,4.32,4.3,2.73,63.3,53.0,523
20,1,0.51,5,3,6,5.14,5.16,3.13,60.8,57.0,1442
21,1,0.3,5,2,5,4.35,4.32,2.7,62.3,56.0,506
22,1,0.52,5,5,6,5.22,5.19,3.19,61.3,57.0,1624
23,1,1.0,2,3,4,6.25,6.33,4.02,63.9,55.0,3878
25,1,0.3,2,5,4,4.29,4.33,2.73,63.3,55.0,394
26,1,1.76,4,3,6,7.72,7.68,4.79,62.2,60.0,13626
27,1,0.36,4,3,6,4.6,4.55,2.79,61.0,60.0,729
28,1,1.21,4,3,6,6.82,6.78,4.18,61.5,58.0,6710
29,1,1.02,5,6,4,6.46,6.52,4.0,61.6,55.0,4824
31,1,1.07,4,4,4,6.67,6.61,3.98,59.9,59.0,4278
33,1,0.41,5,5,7,4.79,4.75,2.95,61.8,56.0,1076
34,1,1.09,5,5,5,6.59,6.54,4.1,62.5,57.0,5527
36,1,1.01,4,3,7,6.43,6.39,3.97,61.9,57.0,4779
37,1,0.55,5,5,9,5.25,5.27,3.27,62.2,57.0,2569
38,1,0.3,2,6,6,4.26,4.3,2.71,63.3,55.0,526
39,1,0.52,5,7,5,5.14,5.19,3.19,61.8,57.0,1600
40,1,0.38,4,5,6,4.67,4.72,2.84,60.5,59.0,800
42,1,0.7,3,3,5,5.68,5.77,3.46,60.4,61.0,2296
43,1,0.9,2,4,5,6.04,6.09,3.79,62.5,62.0,4008
45,1,1.6,4,1,7,7.52,7.49,4.6,61.3,59.0,9032
47,1,0.56,5,4,10,5.33,5.28,3.29,62.0,56.0,2399
48,1,0.52,3,6,6,5.1,5.17,3.2,62.3,57.0,1689
49,1,1.58,1,3,5,7.28,7.22,4.69,64.7,58.0,7333
51,1,1.05,5,3,5,6.43,6.52,4.05,62.5,56.0,4937
52,1,1.01,1,3,5,6.33,6.23,4.1,65.3,57.0,4256
53,1,0.31,5,6,10,4.39,4.41,2.68,60.9,55.0,987
56,1,0.7,4,5,7,5.63,5.59,3.49,62.2,58.0,2669
57,1,0.71,4,1,6,5.71,5.63,3.56,62.8,61.0,1917
60,1,0.7,3,4,4,5.66,5.59,3.55,63.2,57.0,1715
62,1,1.04,5,5,9,6.5,6.53,4.02,61.6,55.0,10825
64,1,1.12,5,5,6,6.68,6.73,4.15,61.9,55.0,7589
66,1,1.51,5,5,7,7.34,7.38,4.57,62.1,56.0,16370
67,1,1.0,4,5,3,6.6,6.55,3.87,58.9,60.0,2841
68,1,0.3,4,3,6,4.3,4.27,2.61,60.9,61.0,608
69,1,1.01,4,6,5,6.53,6.47,3.9,60.0,59.0,5973
70,1,0.53,5,4,8,5.19,5.21,3.25,62.5,54.0,1818
71,1,0.72,5,6,8,5.75,5.78,3.57,62.0,54.9,4094
72,1,1.0,5,7,10,6.44,6.48,3.92,60.7,57.0,16469
73,1,0.51,5,4,7,5.14,5.1,3.17,61.9,56.0,1781
76,1,1.0,2,6,7,6.48,6.43,3.87,60.0,65.0,7190
77,1,0.96,1,3,3,6.15,6.04,4.09,66.9,60.0,1705
78,1,0.43,4,5,6,4.9,4.86,2.98,61.1,57.0,968
80,1,0.37,3,6,9,4.65,4.67,2.84,60.9,56.0,1055
82,1,0.42,3,2,8,4.81,4.85,2.98,61.7,55.0,771
83,1,0.3,5,7,4,4.4,4.37,2.64,60.2,56.0,574
85,1,1.01,4,2,6,6.39,6.44,4.01,62.5,58.0,4592
86,1,0.7,5,5,6,5.69,5.79,3.49,60.8,59.0,2850
88,1,0.73,5,7,6,5.76,5.8,3.56,61.6,56.0,4134
90,1,1.01,2,5,5,6.52,6.48,3.73,57.4,57.0,4632
91,1,0.9,3,6,6,6.14,6.23,3.84,62.1,55.0,4919
92,1,0.54,3,2,5,5.2,5.24,3.2,61.3,60.0,1079
93,1,1.2,3,4,5,6.74,6.79,4.19,61.9,58.0,7372
94,1,0.38,5,4,7,4.63,4.68,2.9,62.3,55.0,817
97,1,0.33,5,6,5,4.41,4.43,2.74,62.0,54.0,579
98,1,0.4,5,4,9,4.75,4.77,2.94,61.8,53.0,1059
99,1,0.71,4,4,4,5.91,5.88,3.43,58.2,60.0,1902
100,1,0.43,4,4,6,4.83,4.86,2.97,61.3,58.0,867
101,1,0.7,5,2,7,5.66,5.74,3.57,62.7,53.4,2363
102,1,0.54,5,3,7,5.25,5.31,3.23,61.2,55.0,1454
106,1,1.01,5,6,6,6.39,6.42,4.0,62.5,54.0,7597
107,1,0.32,3,5,8,4.37,4.39,2.76,63.0,56.0,721
108,1,0.31,5,5,6,4.3,4.33,2.69,62.3,55.0,625
109,1,0.33,5,3,9,4.46,4.5,2.78,62.1,55.0,730
110,1,0.25,3,7,8,4.07,4.12,2.51,61.3,59.0,575
112,1,0.77,3,5,9,5.91,5.94,3.62,61.1,57.0,4304
114,1,1.7,3,1,7,7.54,7.67,4.79,62.9,58.0,10165
116,1,0.4,2,6,5,4.66,4.69,2.98,63.7,56.0,687
117,1,0.5,3,6,5,5.06,5.1,3.12,61.4,63.0,1128
119,1,1.07,3,2,6,6.5,6.53,4.07,62.5,56.0,4873
121,1,1.08,2,3,9,6.52,6.57,4.13,63.1,57.0,6504
122,1,1.57,4,2,4,7.53,7.51,4.58,60.9,58.0,7484
123,1,0.75,2,6,5,5.75,5.77,3.65,63.4,57.0,2674
124,1,0.9,5,3,7,6.22,6.19,3.85,62.0,56.0,4234
125,1,0.72,4,5,6,5.71,5.75,3.59,62.7,59.0,2584
127,1,0.9,4,7,7,6.27,6.25,3.83,61.2,58.0,6441
130,1,0.9,3,2,9,6.09,6.12,3.87,63.4,57.0,3872
131,1,1.05,5,7,4,6.49,6.52,4.04,62.1,58.0,5702
132,1,0.5,5,3,5,5.07,5.09,3.17,62.4,56.0,1140
133,1,1.7,5,1,6,7.73,7.74,4.68,60.5,58.0,10002
135,1,0.4,5,1,9,4.73,4.75,2.96,62.4,54.0,704
136,1,0.33,4,6,7,4.42,4.46,2.73,61.5,59.0,781
137,1,0.9,2,6,7,6.12,6.07,3.95,64.8,54.0,4353
139,1,0.32,5,2,6,4.39,4.34,2.75,63.0,55.0,576
140,1,0.33,4,4,9,4.4,4.43,2.74,62.1,58.0,868
141,1,0.57,4,7,6,5.35,5.32,3.3,61.9,58.0,2047
143,1,0.31,4,5,6,4.34,4.29,2.69,62.3,59.0,802
144,1,0.33,5,4,6,4.47,4.44,2.77,62.2,56.0,743
149,1,1.21,4,2,5,6.89,6.84,4.23,61.6,58.0,5353
150,1,0.22,4,7,6,3.91,3.88,2.31,59.3,62.0,404
151,1,1.01,3,5,9,6.37,6.41,3.97,62.1,58.0,9908
152,1,0.34,5,6,8,4.52,4.54,2.76,60.9,56.0,838
153,1,1.8,5,7,4,7.77,7.74,4.88,62.9,54.0,7862
154,1,1.02,5,5,5,6.55,6.51,3.94,60.3,60.0,5195
156,1,0.7,3,7,6,5.67,5.71,3.46,60.8,59.0,2928
157,1,0.34,5,4,10,4.51,4.54,2.8,61.9,55.0,974
158,1,0.31,5,6,9,4.36,4.39,2.69,61.5,56.0,865
160,1,0.71,2,6,7,5.8,5.89,3.47,59.4,61.0,3464
161,1,0.91,2,4,6,6.1,6.14,3.89,63.6,58.0,4257
162,1,1.24,4,5,8,6.95,6.88,4.29,62.0,55.0,11231
164,1,0.42,5,4,7,4.8,4.83,3.02,62.7,54.0,921
167,1,2.46,4,6,4,8.82,8.76,5.25,59.7,59.0,10470
