,x0,carat,cut,color,clarity,x,y,z,depth,table,price
7,1,0.85,5,4,7,6.09,6.11,3.77,61.8,55.0,4373
11,1,0.54,5,6,6,5.24,5.27,3.24,61.7,55.0,1754
13,1,0.7,4,4,5,5.68,5.65,3.57,63.0,56.0,2386
15,1,1.12,4,3,7,6.6,6.64,4.11,62.1,58.0,5845
16,1,2.02,5,2,4,8.06,7.99,4.99,62.2,57.0,10412
24,1,0.31,5,4,5,4.36,4.4,2.7,61.6,56.0,627
30,1,0.41,4,6,5,4.79,4.83,2.89,60.1,60.0,755
32,1,0.7,5,2,8,5.63,5.68,3.51,62.1,58.0,2276
35,1,1.8,2,5,4,8.13,8.08,4.69,57.9,58.0,12308
41,1,0.9,2,3,5,6.23,6.27,3.69,59.0,62.0,3577
44,1,0.71,3,6,5,5.68,5.72,3.53,61.9,56.0,2455
46,1,0.46,5,1,9,4.97,4.93,3.06,61.8,56.0,1018
50,1,0.33,4,4,4,4.42,4.4,2.76,62.6,58.0,557
54,1,1.2,5,1,4,6.87,6.79,4.21,61.7,56.0,4744
55,1,0.7,3,4,6,5.76,5.83,3.42,59.0,60.0,2437
58,1,0.51,5,6,6,5.16,5.13,3.16,61.4,57.0,1781
59,1,1.51,3,6,4,7.32,7.26,4.61,63.2,56.0,10012
61,1,1.02,3,5,8,6.34,6.38,4.05,63.7,59.0,9728
63,1,0.31,5,1,5,4.37,4.4,2.69,61.3,56.0,418
65,1,0.32,3,5,5,4.4,4.43,2.68,60.7,62.0,497
74,1,0.7,5,7,5,5.76,5.73,3.54,61.7,57.0,3199
75,1,1.51,3,4,6,7.28,7.2,4.58,63.3,60.0,12872
79,1,1.01,2,6,6,6.32,6.36,3.96,62.5,58.0,6221
81,1,0.3,5,3,8,4.28,4.31,2.65,61.9,56.0,542
84,1,0.77,4,1,5,5.86,5.82,3.61,61.8,59.0,2010
87,1,0.51,5,4,7,5.15,5.18,3.16,61.3,55.7,1595
89,1,0.41,5,7,7,4.82,4.78,2.93,61.0,57.0,1230
95,1,1.34,4,3,6,7.05,7.02,4.38,62.3,60.0,7816
96,1,0.9,4,5,4,6.1,6.06,3.74,61.5,61.0,3507
103,1,0.59,4,1,6,5.35,5.28,3.33,62.7,61.0,1055
104,1,0.53,5,6,7,5.19,5.24,3.22,61.6,55.6,2019
105,1,0.57,5,3,9,5.36,5.38,3.27,60.9,56.0,1949
111,1,0.71,5,4,5,5.77,5.79,3.54,61.2,58.0,2400
113,1,0.39,5,7,7,4.67,4.71,2.91,62.0,57.0,1095
115,1,0.34,5,3,7,4.48,4.51,2.79,62.1,57.0,596
118,1,0.54,5,2,5,5.25,5.28,3.26,61.9,54.0,1057
120,1,0.59,3,5,10,5.31,5.36,3.35,62.8,56.0,2554
126,1,1.0,4,5,6,6.37,6.29,3.94,62.2,59.0,6328
128,1,0.31,3,5,5,4.33,4.3,2.74,63.5,56.0,663
129,1,0.54,4,7,5,5.21,5.12,3.23,62.6,57.0,1650
134,1,0.41,4,4,7,4.77,4.73,2.97,62.5,59.0,961
138,1,0.71,4,5,7,5.76,5.72,3.51,61.1,58.0,2942
142,1,0.45,3,4,9,4.9,4.97,3.07,62.2,58.0,1327
145,1,0.96,4,4,4,6.32,6.28,3.85,61.1,59.0,4059
146,1,1.5,4,3,6,7.34,7.36,4.47,60.8,59.0,10291
147,1,1.76,3,4,7,7.7,7.74,4.85,62.8,55.4,18014
148,1,1.02,5,3,4,6.51,6.54,3.96,60.7,57.0,4319
155,1,1.05,4,4,4,6.51,6.48,4.07,62.7,54.0,4018
159,1,0.57,5,4,7,5.29,5.31,3.31,62.5,54.2,1943
163,1,0.33,3,5,9,4.53,4.56,2.73,60.1,56.0,841
165,1,1.52,5,3,6,7.42,7.43,4.59,61.8,54.0,11379
166,1,0.5,4,4,7,5.15,5.19,3.09,59.8,58.0,1624
168,1,0.52,3,6,7,5.11,5.14,3.21,62.6,56.0,1822
169,1,1.03,5,4,5,6.53,6.46,4.0,61.6,57.0,4900
176,1,1.21,5,6,7,6.83,6.8,4.24,62.2,57.0,8348
185,1,1.15,4,2,5,6.72,6.68,4.19,62.5,60.0,4939
188,1,0.32,3,4,6,4.36,4.39,2.71,61.9,56.0,576
191,1,0.3,5,4,4,4.27,4.3,2.66,62.1,58.0,422
201,1,0.31,5,7,7,4.43,4.39,2.67,60.5,55.0,877
204,1,1.02,3,5,7,6.46,6.52,3.98,61.3,58.0,7740
206,1,0.34,3,5,7,4.51,4.54,2.76,61.1,57.0,739
207,1,1.13,3,2,4,6.85,6.82,4.04,59.1,63.0,3987
208,1,0.41,5,5,5,4.73,4.69,2.96,62.8,57.0,969
210,1,0.31,3,4,5,4.32,4.38,2.73,62.8,55.0,462
212,1,0.3,5,2,5,4.32,4.35,2.7,62.3,56.0,394
215,1,0.31,5,7,6,4.34,4.37,2.68,61.5,56.0,734
217,1,0.58,3,6,6,5.41,5.44,3.27,60.3,57.0,1608
234,1,0.81,3,2,6,5.97,5.95,3.6,60.4,63.0,2616
248,1,0.71,3,6,6,5.65,5.7,3.56,62.7,59.0,2830
257,1,1.25,4,4,7,7.03,6.92,4.23,60.0,61.0,8736
258,1,0.7,1,4,5,5.64,5.58,3.54,63.1,57.0,2150
260,1,1.13,4,4,4,6.78,6.71,4.05,60.0,61.0,4518
262,1,0.5,5,2,5,5.18,5.15,3.09,59.8,59.0,1031
265,1,0.59,4,7,8,5.4,5.34,3.36,62.6,58.0,2538
269,1,0.33,3,4,9,4.38,4.44,2.77,62.8,59.0,868
270,1,0.86,3,1,4,6.05,5.97,3.79,63.2,61.0,1950
275,1,0.61,3,7,7,5.44,5.46,3.4,62.4,57.0,2096
278,1,0.31,5,4,9,4.38,4.34,2.69,61.7,57.0,1046
282,1,0.51,5,5,6,5.14,5.11,3.14,61.3,56.0,1562
284,1,0.41,5,7,5,4.78,4.73,2.94,61.8,56.0,1122
287,1,0.33,3,3,10,4.43,4.45,2.74,61.7,59.0,787
289,1,1.01,2,4,6,6.3,6.35,4.0,63.2,57.0,5599
296,1,0.71,3,5,7,5.69,5.72,3.58,62.8,56.0,2889
302,1,0.79,4,6,6,6.08,6.05,3.6,59.4,60.0,3230
304,1,1.01,4,5,5,6.44,6.39,3.96,61.7,58.0,5202
309,1,0.72,5,5,5,5.76,5.78,3.58,62.0,55.0,2737
311,1,1.07,3,4,7,6.63,6.67,4.07,61.2,55.0,6780
318,1,0.3,5,5,10,4.29,4.31,2.68,62.3,57.0,886
321,1,0.4,3,5,10,4.73,4.77,2.9,61.1,57.0,1217
324,1,0.72,5,3,7,5.78,5.81,3.58,61.8,55.0,3167
325,1,0.32,4,3,9,4.37,4.42,2.7,61.4,58.0,730
327,1,0.33,4,5,6,4.39,4.44,2.74,62.1,59.0,666
330,1,1.02,5,5,4,6.49,6.43,3.99,61.8,57.0,4832
331,1,1.5,4,3,4,7.41,7.35,4.51,61.1,59.0,6250
334,1,0.33,5,5,10,4.47,4.44,2.74,61.5,55.0,1114
335,1,0.3,2,4,7,4.28,4.25,2.72,63.8,55.0,776
343,1,1.05,3,4,4,6.52,6.49,4.11,63.2,54.0,4318
351,1,0.32,5,7,6,4.41,4.39,2.69,61.1,56.0,972
353,1,0.53,5,4,8,5.19,5.26,3.21,61.4,57.0,1948
356,1,1.5,4,4,3,7.4,7.32,4.45,60.4,55.0,4140
361,1,0.93,3,1,7,6.22,6.26,3.93,63.0,53.0,3651
362,1,0.7,5,5,5,5.67,5.69,3.49,61.4,57.0,2573
363,1,1.52,3,1,5,7.32,7.38,4.58,62.3,57.0,7239
368,1,0.51,2,5,5,5.03,5.02,3.22,64.1,58.0,1274
370,1,1.01,5,3,5,6.38,6.47,3.99,62.1,56.0,4886
373,1,0.93,4,7,4,6.27,6.22,3.87,62.0,56.0,4692
375,1,2.02,2,2,6,8.28,8.36,4.82,57.9,62.0,16593
380,1,2.09,4,3,4,8.17,8.22,5.09,62.1,58.0,17001
382,1,1.12,5,3,6,6.7,6.64,4.12,61.8,55.0,6222
385,1,0.4,3,5,7,4.68,4.7,2.96,63.1,56.0,895
386,1,0.51,3,5,7,5.16,5.1,3.13,61.0,59.0,1706
387,1,0.5,3,1,6,5.07,5.02,3.2,63.4,58.0,1023
390,1,1.04,5,3,5,6.49,6.44,3.96,61.3,55.0,3984
391,1,0.55,5,5,8,5.28,5.31,3.24,61.1,57.0,2629
395,1,1.01,5,3,5,6.37,6.43,3.98,62.2,58.0,4773
396,1,0.5,2,7,5,5.05,5.09,3.23,63.7,56.0,1436
397,1,1.08,5,2,5,6.51,6.56,4.09,62.6,53.9,5049
399,1,1.01,4,3,6,6.39,6.35,3.97,62.3,62.0,4769
408,1,1.08,4,7,5,6.62,6.51,4.12,62.8,58.0,6623
418,1,0.7,3,5,5,5.62,5.78,3.55,62.3,58.0,2161
419,1,0.58,5,4,5,5.34,5.38,3.29,61.4,55.8,1442
427,1,0.9,2,4,5,6.08,6.05,3.87,63.8,59.0,3669
428,1,0.52,5,4,7,5.16,5.14,3.23,62.7,56.0,1815
434,1,0.57,5,4,8,5.3,5.33,3.28,61.7,56.0,2095
435,1,0.59,5,4,6,5.36,5.39,3.34,62.1,57.0,1774
437,1,0.72,3,6,4,5.85,5.9,3.52,59.9,57.0,2573
445,1,0.53,5,2,8,5.26,5.3,3.21,60.9,56.0,1351
447,1,0.42,5,4,9,4.88,4.86,2.95,60.6,56.0,1235
449,1,0.71,3,2,9,5.6,5.67,3.55,63.0,58.0,2549
452,1,0.3,5,3,10,4.26,4.29,2.65,62.0,57.0,764
454,1,1.15,3,3,4,6.68,6.72,4.15,61.9,57.0,4654
458,1,0.9,5,6,5,6.19,6.22,3.84,61.9,54.0,5373
463,1,1.15,4,2,6,6.74,6.67,4.2,62.6,56.0,5120
464,1,1.14,5,4,9,6.75,6.8,4.13,61.0,56.0,9037
465,1,0.56,5,4,6,5.29,5.31,3.29,62.1,56.0,1580
469,1,0.72,1,4,7,5.6,5.51,3.69,66.4,57.0,2396
474,1,0.51,3,4,8,5.17,5.21,3.16,60.9,56.0,1768
476,1,0.38,5,4,8,4.63,4.66,2.89,62.2,54.3,929
483,1,1.71,2,1,6,7.48,7.55,4.72,62.8,58.0,8831
485,1,0.3,5,5,10,4.3,4.32,2.66,61.7,58.0,886
486,1,1.78,4,6,4,7.89,7.8,4.75,60.5,59.0,10765
489,1,0.52,3,5,6,5.08,5.12,3.26,63.9,57.0,1550
494,1,1.5,1,5,6,7.15,7.12,4.66,65.3,57.0,13853
497,1,0.78,1,6,4,5.7,5.66,3.6,66.9,57.0,2721
504,1,0.32,5,6,6,4.4,4.43,2.73,61.8,54.0,599
507,1,1.5,1,7,4,6.9,6.86,4.73,68.8,57.0,7469
509,1,2.21,4,3,3,8.31,8.27,5.16,62.2,58.0,6535
510,1,0.43,3,6,9,4.84,4.87,2.97,61.2,56.0,1433
512,1,0.54,4,6,6,5.38,5.32,3.15,59.0,60.0,1687
515,1,0.57,5,6,5,5.33,5.28,3.28,61.8,57.0,1728
517,1,1.4,5,3,5,7.11,7.18,4.46,62.4,56.0,8075
520,1,0.91,3,6,4,6.13,6.16,3.86,62.8,59.0,3968
524,1,0.3,2,4,9,4.23,4.25,2.68,63.2,58.0,789
525,1,1.01,2,7,4,6.37,6.43,4.04,63.1,54.0,4260
526,1,0.29,3,5,9,4.26,4.3,2.63,61.5,56.0,563
527,1,0.79,3,3,5,5.87,5.84,3.7,63.2,59.0,2663
534,1,0.91,5,1,7,6.23,6.26,3.79,60.7,57.0,3267
542,1,0.91,3,3,5,6.13,6.16,3.86,62.8,58.0,3734
548,1,3.01,1,3,3,9.54,9.38,5.31,56.1,62.0,10761
551,1,1.17,5,4,9,6.84,6.9,4.13,61.7,57.0,10342
552,1,0.87,5,5,7,6.1,6.13,3.79,62.0,55.0,5640
554,1,0.38,3,5,6,4.58,4.62,2.89,62.8,57.0,800
557,1,0.42,5,5,5,4.82,4.84,2.97,61.5,55.0,931
558,1,0.5,4,6,4,5.09,5.03,3.11,61.5,58.0,1181
562,1,0.31,5,3,5,4.31,4.35,2.7,62.4,55.0,464
563,1,0.3,5,5,10,4.29,4.32,2.66,61.8,56.0,886
570,1,0.35,5,3,10,4.53,4.55,2.8,61.7,56.0,921
572,1,0.7,2,5,8,5.68,5.75,3.57,62.5,58.0,3445
575,1,1.02,4,3,6,6.5,6.46,3.95,61.0,60.0,4958
578,1,0.7,5,5,5,5.59,5.62,3.51,62.6,57.0,2453
580,1,1.02,5,6,6,6.53,6.51,3.98,61.0,56.0,8225
587,1,2.17,4,7,4,8.28,8.34,5.17,62.2,59.0,16472
596,1,0.9,2,6,5,6.24,6.29,3.65,58.3,61.0,4165
599,1,0.26,5,3,7,4.12,4.14,2.57,62.2,55.0,482
600,1,0.62,3,4,7,5.52,5.54,3.32,60.1,58.0,2161
604,1,0.58,3,7,8,5.44,5.49,3.28,60.0,55.0,2714
609,1,0.5,3,5,6,5.19,5.22,3.09,59.4,59.0,1436
612,1,2.02,2,3,4,8.26,8.31,4.89,59.0,61.0,13144
613,1,0.8,4,3,5,5.91,5.96,3.68,62.0,59.0,2699
620,1,0.54,4,6,5,5.23,5.2,3.21,61.6,61.0,1637
623,1,1.13,4,2,6,6.74,6.71,4.05,60.2,61.0,4430
625,1,1.01,2,6,6,6.64,6.68,3.86,58.0,60.0,6522
629,1,0.59,3,4,6,5.32,5.41,3.3,61.5,59.0,1618
633,1,0.9,4,2,7,6.29,6.27,3.83,61.0,55.0,3720
634,1,0.32,5,4,5,4.42,4.39,2.7,61.3,56.0,612
642,1,0.4,5,1,10,4.75,4.71,2.96,62.6,56.0,1063
647,1,0.31,5,4,9,4.36,4.38,2.73,62.5,54.0,789
649,1,0.91,3,3,6,6.19,6.21,3.82,61.6,60.0,3887
656,1,1.0,5,4,8,6.45,6.47,3.93,60.8,57.0,7744
663,1,0.42,5,7,6,4.8,4.82,3.0,62.4,55.0,1031
664,1,1.04,4,5,8,6.46,6.37,4.01,62.5,58.0,8946
667,1,1.03,4,3,5,6.47,6.41,3.98,61.8,58.0,3945
669,1,1.5,4,3,4,7.3,7.22,4.52,62.3,60.0,8645
671,1,2.0,4,6,4,8.15,8.08,4.89,60.3,58.0,12987
672,1,0.46,5,3,9,4.95,5.01,3.1,62.4,53.4,1338
678,1,1.08,5,2,4,6.56,6.61,4.1,62.3,57.0,4130
684,1,1.02,5,7,8,6.41,6.46,4.0,62.2,59.0,11573
